"nombre_carrera","anio_examen_publico","mes_examen_publico","sexo","pais_nacionalidad","anio_nacimiento","anio_ingreso_carrera","promedio_al_graduarse","correlativo_estudiante"
INGENIERIA QUIMICA,"2010","11",M,GUATEMALA,"1981","2000","72","80de85f9445acaa1f6afcf508e38e4a2"
INGENIERIA CIVIL,"2010","11",M,GUATEMALA,"1983","2001","67","248ecf0c40b343210adbbc19e2289ba0"
INGENIERIA INDUSTRIAL,"2010","11",M,GUATEMALA,"1983","2002","67","421d27368a9c4257ef5ac79f57da13a5"
INGENIERIA INDUSTRIAL,"2010","11",F,GUATEMALA,"1979","2001","67","9c10ff9b0c05ec51c944d6121573b8bc"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","11",M,GUATEMALA,"1985","2002","72","1d787533dcbf2b99768c99e28790f0b9"
INGENIERIA INDUSTRIAL,"2010","11",M,GUATEMALA,"1982","2007","68",cf18013a2d97595f20a7f6d14f24dca9
INGENIERIA QUIMICA,"2010","11",M,GUATEMALA,"1984","2003","68","6034c6a64dabd515c0be5bb959d7144b"
INGENIERIA INDUSTRIAL,"2010","11",M,GUATEMALA,"1981","2000","66","1f3fb13c5621c1b18fa51b38380431c5"
INGENIERIA CIVIL,"2010","11",M,GUATEMALA,"1979","2000","69","6e79a2a0df221912dc9e358c4207753a"
INGENIERIA CIVIL,"2010","11",M,GUATEMALA,"1979","1997","69","8672fa348d1f6b9da5aed08961350ad7"
INGENIERIA MECANICA,"2010","11",M,GUATEMALA,"1977","1999","66","8ce7976406406ddff4040b5634580792"
INGENIERIA ELECTRONICA,"2010","11",M,GUATEMALA,SIN INFORMACION,"1996",SIN INFORMACION,c408b2e36d47758492d8fd93fcb6d89a
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,"1979","1997","67","6c33fe6e8a251854c2ee7cc3fd188837"
INGENIERIA CIVIL,"2010","12",M,GUATEMALA,"1986","2004","71",bc350ce2b2993d00cf668e7f5ccc4c3b
INGENIERIA INDUSTRIAL,"2010","12",M,GUATEMALA,"1983","2002","69",f6dedbd4ead3b39409fd10a8721cc711
INGENIERIA ELECTRONICA,"2010","12",M,GUATEMALA,"1967","1985","69","65be971ba341dfdf834453211a61debd"
INGENIERIA INDUSTRIAL,"2010","12",M,GUATEMALA,"1985","2004","66","4b6f86ba720d02f26da31c10286ea4e9"
INGENIERIA QUIMICA,"2010","12",F,GUATEMALA,"1987","2004","71",d70c36a9a78966df69969358cbb2d2c4
INGENIERIA INDUSTRIAL,"2010","12",F,GUATEMALA,"1986","2005","72",b465174fa66767445c96fe3178fea14b
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,"1986","2004","72",e005324d411d391678a9847ec2203f1a
INGENIERIA CIVIL,"2010","12",F,GUATEMALA,"1980","1997","67","347dc357c225743ae584cce3e20b20a7"
INGENIERIA CIVIL,"2010","12",M,GUATEMALA,"1983","2000","68","48a6a3a427e8ff427e907d7b669c1006"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,"1987","2004","73",acc5f6c5ccca1de688e40cefd1bd8c10
INGENIERIA MECANICA ELECTRICA,"2010","12",M,GUATEMALA,"1986","2004","72",b6374e55a37859bd0a0fdc3f4fb06a36
INGENIERIA INDUSTRIAL,"2010","12",F,GUATEMALA,"1983","2003","70","9e0e867014fbe4b27a13df4dc7cda70a"
INGENIERIA INDUSTRIAL,"2010","12",M,GUATEMALA,"1987","2005","74","66a5914b02e89cf43784d05b35c30282"
INGENIERIA CIVIL,"2010","12",M,GUATEMALA,"1980","1999","69",afd684cf36374c4f266396616771e507
INGENIERIA INDUSTRIAL,"2010","12",M,GUATEMALA,"1972","1991","65","4075256b0c7e6d56827ab2d561305646"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,"1975","1993","69",ad6bcf8aef808e6b95b22df919a83ab1
INGENIERIA INDUSTRIAL,"2010","12",M,GUATEMALA,"1981","2001","66",a54c67262d9c537892d430d88cbfcf2c
INGENIERIA MECANICA,"2010","12",M,GUATEMALA,"1982","2000","69","1178c2c7bb848b8ba7ebc51f2adb03b6"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,"1986","2003","68",c1512ec6e353073a0dd1948018a43bb0
INGENIERIA INDUSTRIAL,"2010","12",M,GUATEMALA,"1986","2004","70","457b96c41df26ece2d4159731f826809"
INGENIERIA MECANICA ELECTRICA,"2010","12",M,GUATEMALA,SIN INFORMACION,"1993","71","7821f09470341b3ee8afa502ea14bd49"
INGENIERIA MECANICA INDUSTRIAL,"2010","12",M,GUATEMALA,"1985","2004","69",fe0b4100e26c17eb8e8589f89542ed3c
INGENIERIA CIVIL,"2010","12",M,GUATEMALA,"1987","2004","78",bfc82cb5804a53533f022dd91296b3fd
INGENIERIA QUIMICA,"2010","12",M,GUATEMALA,"1982","2002","69","8ad54a6ae6470dc8a98664bb9b3bfa75"
INGENIERIA QUIMICA,"2010","12",M,GUATEMALA,"1986","2005","73","61d7a28478b51061044d6e38aa1d5c07"
INGENIERIA QUIMICA,"2010","12",M,GUATEMALA,"1987","2004","67","4efc6eb551e186bafdf3d4511050763a"
INGENIERIA MECANICA INDUSTRIAL,"2010","12",M,GUATEMALA,SIN INFORMACION,"1995","68",d6f9a90c7d04ec4345f4aca6f9e9dd79
INGENIERIA ELECTRICA,"2010","12",M,GUATEMALA,"1984","2003","69","0714d5e8771bfc62d0beda6e80e67037"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,"1985","2002","69","26a29643dfaf18eba593f97af8da1c5b"
INGENIERIA INDUSTRIAL,"2010","12",F,GUATEMALA,"1984","2006","74","235a041eae2c7f25de6455c1c2b33b74"
INGENIERIA INDUSTRIAL,"2010","12",M,GUATEMALA,SIN INFORMACION,"1981","68","3a67e36db6ba52bd9681d4391be2a5bc"
INGENIERIA INDUSTRIAL,"2010","12",M,GUATEMALA,"1983","2001","71",a9452060cd31f5ba9b990d277cf31c29
INGENIERIA CIVIL,"2010","12",M,GUATEMALA,"1986","2006","71","697d586548a0ef854c9cd92ef50f4962"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,"1985","2005","73",b575feec57efc6bc6160c1a70d84f1d4
INGENIERIA ELECTRONICA,"2010","12",M,GUATEMALA,"1980","2002","69",fa7687656cef2fb7e0d5c1815b926e64
INGENIERIA INDUSTRIAL,"2010","12",M,GUATEMALA,"1979","2004","67",eb35e3714c108b34542295170fe3bb16
INGENIERIA CIVIL,"2010","12",F,GUATEMALA,"1981","1998","70",e5a3a8409a2fd3072f3b91f3c213519f
INGENIERIA ELECTRONICA,"2010","12",F,GUATEMALA,SIN INFORMACION,"1999","71",f411a41cdefa07f41e1058b74192f3c1
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,"1979","1998","69","9255e84abb9b2ba0fad83cd0587e9fd4"
INGENIERIA INDUSTRIAL,"2010","12",F,GUATEMALA,"1974","1997","66",d354f2fbde8c8e412c26d7fdc26f6511
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,"1978","1996","69","5cb176c1f64a4d695a8440c0bbcf715b"
INGENIERIA ELECTRICA,"2010","12",F,GUATEMALA,"1984","2003","68","6d7a37c76c3e59bad4dad0c8e7224bc3"
INGENIERIA CIVIL,"2010","12",M,GUATEMALA,"1985","2004","70",e032b36a22b03f7caa9bdfa1cdb31854
INGENIERIA ELECTRICA,"2010","12",M,GUATEMALA,"1983","2002","68","47af5bac0b4efcba4975d9961352cc6a"
INGENIERIA MECANICA,"2010","12",M,GUATEMALA,"1966","1986","71","0aafbd751991012c36f791fb3c5a03c5"
INGENIERIA CIVIL,"2010","12",M,GUATEMALA,SIN INFORMACION,"1988","64",dcf20f7969509732b451c9eba01398e3
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,"1987","2005","74","149d2111ad137b9debbf828ab2c20997"
INGENIERIA CIVIL,"2010","12",M,GUATEMALA,"1983","2003","67",aab9953e5a182034aebed02b5ede24a0
INGENIERIA INDUSTRIAL,"2010","12",M,GUATEMALA,"1987","2007","76","760246d238f6175f0efdda5df13baeef"
INGENIERIA CIVIL,"2010","12",M,GUATEMALA,"1987","2006","74","9b465a65ae6070163dc051f1c8c64f8b"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,SIN INFORMACION,"1984","70","6d6d86f55c985aed383dbb25ceee5134"
INGENIERIA QUIMICA,"2010","12",F,GUATEMALA,"1986","2004","71","06fb7ec8fbc90da9b043c875b5a12860"
INGENIERIA INDUSTRIAL,"2010","12",F,GUATEMALA,"1987","2005","73","60ed67be44bdda94f61f810f0d7eb642"
INGENIERIA CIVIL,"2010","12",M,GUATEMALA,"1983","2002","67","809d5d33c03203fd334d416c8eca326b"
INGENIERIA MECANICA,"2010","12",M,GUATEMALA,"1988","2008","70",fd9dacae5b14c63265c63b2eecea2758
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","12",M,GUATEMALA,"1986","2004","71","1b8a132dcca63529f5a9012c7381702d"
INGENIERIA CIVIL,"2010","12",M,GUATEMALA,"1985","2003","68",fae7bfe06b508dc5c9eb470b4eb6cae0
